 Z. ( ) 
 Zaccheroni ( ) 
 Zagabria ( ) 
 Zaire ( ) 
 Zanetti ( ) 
 Zanone ( ) 
 Zanussi ( ) 
 Zavoli ( ) 
 Zeffirelli ( ) 
 Zeitung ( ) 
 Zelanda ( ) 
 Zeman ( ) 
 Zenga ( ) 
 Zeri ( ) 
 Zidane ( ) 
 Zoff ( ) 
 Zola ( ) 
 Zucchero ( ) 
 zuma ( ) lemma=zumare 
 zumare ( ) 
 zumai ( ) lemma=zumare 
 zumammo ( ) lemma=zumare 
 zuman ( ) lemma=zumare 
 zumando ( ) lemma=zumare 
 zumano ( ) lemma=zumare 
 zumante ( ) lemma=zumare 
 zumanti ( ) lemma=zumare 
 zumar ( ) lemma=zumare 
 zumaron ( ) lemma=zumare 
 zumarono ( ) lemma=zumare 
 zumasse ( ) lemma=zumare 
 zumasser ( ) lemma=zumare 
 zumassero ( ) lemma=zumare 
 zumassi ( ) lemma=zumare 
 zumassimo ( ) lemma=zumare 
 zumaste ( ) lemma=zumare 
 zumasti ( ) lemma=zumare 
 zumata ( ) lemma=zumare 
 zumate ( ) lemma=zumare 
 zumati ( ) lemma=zumare 
 zumato ( ) lemma=zumare 
 zumava ( ) lemma=zumare 
 zumavamo ( ) lemma=zumare 
 zumavan ( ) lemma=zumare 
 zumavano ( ) lemma=zumare 
 zumavate ( ) lemma=zumare 
 zumavi ( ) lemma=zumare 
 zumavo ( ) lemma=zumare 
 zumera' ( ) lemma=zumare 
 zumerai ( ) lemma=zumare 
 zumeran ( ) lemma=zumare 
 zumeranno ( ) lemma=zumare 
 zumerebbe ( ) lemma=zumare 
 zumerebber ( ) lemma=zumare 
 zumerebbero ( ) lemma=zumare 
 zumerei ( ) lemma=zumare 
 zumeremmo ( ) lemma=zumare 
 zumeremo ( ) lemma=zumare 
 zumereste ( ) lemma=zumare 
 zumeresti ( ) lemma=zumare 
 zumerete ( ) lemma=zumare 
 zumero' ( ) lemma=zumare 
 zumerà ( ) lemma=zumare 
 zumerò ( ) lemma=zumare 
 zumi ( ) lemma=zumare 
 zumiamo ( ) lemma=zumare 
 zumiate ( ) lemma=zumare 
 zumin ( ) lemma=zumare 
 zumino ( ) lemma=zumare 
 zumo ( ) lemma=zumare 
 zumo' ( ) lemma=zumare 
 zumò ( ) lemma=zumare 
 zuppa ( ) lemma=zuppo 
 zuppo ( ) 
 zuppe ( ) lemma=zuppo 
 zuppi ( ) lemma=zuppo 
 zuppissima ( ) lemma=zuppo 
 zuppissime ( ) lemma=zuppo 
 zuppissimi ( ) lemma=zuppo 
 zuppissimo ( ) lemma=zuppo 
 zurighese ( ) 
 zurighesi ( ) lemma=zurighese 
 zurighesissima ( ) lemma=zurighese 
 zurighesissime ( ) lemma=zurighese 
 zurighesissimi ( ) lemma=zurighese 
 zurighesissimo ( ) lemma=zurighese 
 zurliniana ( ) lemma=zurliniano 
 zurliniano ( ) 
 zurliniane ( ) lemma=zurliniano 
 zurliniani ( ) lemma=zurliniano 
 zurlinianissima ( ) lemma=zurliniano 
 zurlinianissime ( ) lemma=zurliniano 
 zurlinianissimi ( ) lemma=zurliniano 
 zurlinianissimo ( ) lemma=zurliniano 
